backfill 2019-10-01 -> 2026-08-14
  25/1690  ok=25 holiday=0 fail=0
  50/1690  ok=50 holiday=0 fail=0
  75/1690  ok=75 holiday=0 fail=0
  100/1690  ok=100 holiday=0 fail=0
  125/1690  ok=125 holiday=0 fail=0
  150/1690  ok=150 holiday=0 fail=0
  175/1690  ok=175 holiday=0 fail=0
  200/1690  ok=200 holiday=0 fail=0
  225/1690  ok=225 holiday=0 fail=0
  250/1690  ok=250 holiday=0 fail=0
  275/1690  ok=275 holiday=0 fail=0
  300/1690  ok=300 holiday=0 fail=0
  325/1690  ok=325 holiday=0 fail=0
  350/1690  ok=350 holiday=0 fail=0
  375/1690  ok=375 holiday=0 fail=0
  400/1690  ok=400 holiday=0 fail=0
  425/1690  ok=425 holiday=0 fail=0
  450/1690  ok=450 holiday=0 fail=0
  475/1690  ok=475 holiday=0 fail=0
  500/1690  ok=500 holiday=0 fail=0
  525/1690  ok=525 holiday=0 fail=0
  550/1690  ok=550 holiday=0 fail=0
  575/1690  ok=575 holiday=0 fail=0
  600/1690  ok=600 holiday=0 fail=0
  625/1690  ok=625 holiday=0 fail=0
  650/1690  ok=650 holiday=0 fail=0
  675/1690  ok=675 holiday=0 fail=0
  700/1690  ok=700 holiday=0 fail=0
  725/1690  ok=725 holiday=0 fail=0
  750/1690  ok=750 holiday=0 fail=0
  775/1690  ok=775 holiday=0 fail=0
  800/1690  ok=800 holiday=0 fail=0
  825/1690  ok=825 holiday=0 fail=0
  850/1690  ok=850 holiday=0 fail=0
  875/1690  ok=875 holiday=0 fail=0
  900/1690  ok=900 holiday=0 fail=0
  925/1690  ok=925 holiday=0 fail=0
  950/1690  ok=950 holiday=0 fail=0
  975/1690  ok=975 holiday=0 fail=0
  1000/1690  ok=1000 holiday=0 fail=0
  1025/1690  ok=1025 holiday=0 fail=0
  1050/1690  ok=1050 holiday=0 fail=0
  1075/1690  ok=1075 holiday=0 fail=0
  1100/1690  ok=1100 holiday=0 fail=0
  1125/1690  ok=1125 holiday=0 fail=0
  1150/1690  ok=1150 holiday=0 fail=0
  1175/1690  ok=1175 holiday=0 fail=0
  1200/1690  ok=1200 holiday=0 fail=0
  1225/1690  ok=1225 holiday=0 fail=0
  1250/1690  ok=1250 holiday=0 fail=0
  1275/1690  ok=1275 holiday=0 fail=0
  1300/1690  ok=1300 holiday=0 fail=0
  1325/1690  ok=1325 holiday=0 fail=0
  1350/1690  ok=1350 holiday=0 fail=0
  1375/1690  ok=1375 holiday=0 fail=0
  1400/1690  ok=1400 holiday=0 fail=0
  1425/1690  ok=1425 holiday=0 fail=0
  1450/1690  ok=1450 holiday=0 fail=0
  1475/1690  ok=1475 holiday=0 fail=0
  1500/1690  ok=1500 holiday=0 fail=0
  1525/1690  ok=1525 holiday=0 fail=0
  1550/1690  ok=1550 holiday=0 fail=0
  1575/1690  ok=1575 holiday=0 fail=0
  1600/1690  ok=1600 holiday=0 fail=0
  1625/1690  ok=1625 holiday=0 fail=0
  1650/1690  ok=1650 holiday=0 fail=0
  1675/1690  ok=1675 holiday=0 fail=0

done: 1690 fetched, 5 already had, 0 non-trading, 0 failed
